City,Country,Date,Latitude,Longitude,Cloudiness,Humidity,Max Temperature,Wind Speed
Port Lincoln,AU,2020-03-17 16:20:22,-34.73,135.87,100,40,72.05,4.07
Flinders,AU,2020-03-17 16:20:22,-34.58,150.86,0,93,57.2,8.05
Coquimbo,CL,2020-03-17 16:20:22,-29.95,-71.34,20,68,66.2,11.41
Raudeberg,NO,2020-03-17 16:20:22,61.99,5.14,75,80,42.8,18.34
Atlantis,ZA,2020-03-17 16:20:22,-33.57,18.48,0,88,68.0,11.41
Arraial do Cabo,BR,2020-03-17 16:20:22,-22.97,-42.03,75,83,78.8,3.36
Rio Grande,BR,2020-03-17 16:20:22,-32.03,-52.1,75,69,78.8,16.11
Gouré,NE,2020-03-17 16:20:22,13.98,10.27,100,7,79.61,9.8
Basoko,CD,2020-03-17 16:20:22,1.24,23.62,60,98,72.05,2.93
Seoul,KR,2020-03-17 16:20:01,37.57,126.98,1,64,35.6,1.12
Teya,RU,2020-03-17 16:20:22,60.38,92.63,100,80,7.43,5.03
Quelimane,MZ,2020-03-17 16:20:22,-17.88,36.89,20,78,80.6,4.7
Saint Paul Harbor,US,2020-03-17 16:20:22,57.79,-152.41,40,86,39.2,2.93
Xichang,CN,2020-03-17 16:20:23,27.9,102.26,99,92,36.23,3.02
Tual,ID,2020-03-17 16:20:23,-5.67,132.75,48,70,81.95,2.51
Araguaína,BR,2020-03-17 16:20:23,-7.19,-48.21,61,77,81.05,2.77
Champerico,GT,2020-03-17 16:20:23,14.3,-91.92,75,46,93.2,9.17
Boguchany,RU,2020-03-17 16:20:23,58.38,97.45,91,94,7.25,3.15
Kruisfontein,ZA,2020-03-17 16:20:23,-34.0,24.73,0,64,66.29,6.15
Fare,PF,2020-03-17 16:20:23,-16.7,-151.02,91,71,83.03,8.52
Sibolga,ID,2020-03-17 16:20:23,1.74,98.78,100,84,68.81,3.87
Kyra,RU,2020-03-17 16:20:23,49.58,111.98,26,70,19.85,13.33
Manfredonia,IT,2020-03-17 16:20:23,41.63,15.91,5,87,51.01,3.36
Chaman,PK,2020-03-17 16:20:23,30.92,66.45,0,48,56.03,3.49
Lavrentiya,RU,2020-03-17 16:20:23,65.58,-171.0,100,96,27.23,8.79
Narsaq,GL,2020-03-17 16:20:23,60.92,-46.05,20,43,15.8,4.07
Saint-Joseph,RE,2020-03-17 16:20:23,-21.37,55.62,90,94,75.2,5.82
Srandakan,ID,2020-03-17 16:20:23,-7.94,110.25,86,92,74.39,4.54
Chui,UY,2020-03-17 16:20:23,-33.7,-53.46,100,70,71.87,13.33
Mikhaylovka,RU,2020-03-17 16:20:23,50.06,43.24,0,52,34.25,2.55
Vila Franca do Campo,PT,2020-03-17 16:20:23,37.72,-25.43,20,72,60.8,6.93
Valleyview,CA,2020-03-17 16:20:23,55.07,-117.29,100,75,23.81,4.32
Severo-Kuril'sk,RU,2020-03-17 16:20:24,50.68,156.12,100,91,17.15,11.23
Karaman Province,TR,2020-03-17 16:20:24,37.08,33.25,100,96,16.97,33.96
Saint-Pierre,RE,2020-03-17 16:20:24,-21.34,55.48,90,94,75.2,5.82
Huarmey,PE,2020-03-17 16:20:24,-10.07,-78.15,42,48,82.31,8.43
San Patricio,MX,2020-03-17 16:19:11,19.22,-104.7,40,74,87.8,11.41
Ures,MX,2020-03-17 16:20:24,29.43,-110.4,33,43,75.0,1.01
San Isidro,PE,2020-03-17 16:20:24,-12.12,-77.05,100,65,78.8,11.41
Arrondissement de Vannes,FR,2020-03-17 16:20:24,47.83,-2.5,20,66,55.4,4.7
Bredasdorp,ZA,2020-03-17 16:20:24,-34.53,20.04,33,72,66.2,9.17
Rundu,NA,2020-03-17 16:16:15,-17.93,19.77,100,69,75.2,12.75
Borkenes,NO,2020-03-17 16:20:24,68.77,16.17,90,76,35.6,9.17
San Andrés,CO,2020-03-17 16:20:24,12.58,-81.7,20,66,86.0,12.75
Castro,BR,2020-03-17 16:20:24,-24.79,-50.01,0,80,72.05,5.39
Clyde River,CA,2020-03-17 16:20:24,70.47,-68.59,75,82,-16.6,16.11
Chernyshevskiy,RU,2020-03-17 16:20:24,63.01,112.47,98,96,-4.45,6.46
Ribeira Grande,PT,2020-03-17 16:20:24,38.52,-28.7,20,82,64.4,11.41
San Jose,US,2020-03-17 16:19:08,37.34,-121.89,75,58,57.99,3.36
Haines Junction,CA,2020-03-17 16:20:24,60.75,-137.51,1,70,23.63,0.94
Meulaboh,ID,2020-03-17 16:20:25,4.14,96.13,100,84,79.07,9.71
Iqaluit,CA,2020-03-17 16:20:25,63.75,-68.51,90,78,15.8,16.11
Makkah al Mukarramah,SA,2020-03-17 16:20:25,21.43,39.83,0,48,73.85,0.36
Igarka,RU,2020-03-17 16:20:25,67.47,86.58,100,92,12.11,20.13
Vardø,NO,2020-03-17 16:20:25,70.37,31.11,75,79,24.8,9.17
Beyneu,KZ,2020-03-17 16:20:25,45.32,55.2,99,61,40.55,7.54
Vikhorevka,RU,2020-03-17 16:20:25,56.12,101.16,77,61,12.2,4.47
Tuntum,BR,2020-03-17 16:20:25,-5.26,-44.65,64,88,77.99,2.19
Nome,US,2020-03-17 16:20:25,64.5,-165.41,90,92,27.0,17.22
Gisborne,NZ,2020-03-17 16:20:25,-38.65,178.0,74,79,55.0,7.0
Waipawa,NZ,2020-03-17 16:20:25,-41.41,175.52,91,54,55.4,4.7
Bosaso,SO,2020-03-17 16:16:27,11.28,49.18,100,87,78.35,13.24
Basna,IN,2020-03-17 16:20:25,21.28,82.82,0,34,76.37,2.33
Tura,IN,2020-03-17 16:20:25,25.52,90.22,0,43,66.29,1.97
Sept-Îles,CA,2020-03-17 16:16:34,50.2,-66.38,90,92,27.0,12.75
South Lake Tahoe,US,2020-03-17 16:20:26,38.93,-119.98,1,37,44.01,16.02
Mehamn,NO,2020-03-17 16:19:54,71.04,27.85,75,79,24.8,4.7
Port Alfred,ZA,2020-03-17 16:20:26,-33.59,26.89,47,97,66.99,7.0
Dongli,CN,2020-03-17 16:20:26,23.57,116.82,75,77,64.4,2.24
Mandera,KE,2020-03-17 16:20:26,3.94,41.87,29,38,90.59,20.38
Codrington,AU,2020-03-17 16:15:31,-38.27,141.97,100,57,67.73,10.87
Chastyye,RU,2020-03-17 16:20:26,57.29,54.97,61,94,22.91,4.76
Touros,BR,2020-03-17 16:20:26,-5.2,-35.46,20,66,86.0,14.99
Mae Hong Son,TH,2020-03-17 16:20:26,19.3,97.97,0,43,60.89,1.52
Manyana,BW,2020-03-17 16:20:26,-23.4,21.72,6,50,70.97,7.58
Madawaska,US,2020-03-17 16:17:30,47.36,-68.33,90,86,30.99,17.22
Mānsa,IN,2020-03-17 16:16:28,29.98,75.38,0,67,60.71,3.8
Kribi,CM,2020-03-17 16:20:26,2.95,9.92,98,84,81.59,7.52
Kurumkan,RU,2020-03-17 16:20:26,54.3,110.3,51,81,11.21,5.68
Port Blair,IN,2020-03-17 16:20:26,11.67,92.75,100,74,82.31,10.56
Jumla,NP,2020-03-17 16:19:00,29.27,82.18,0,60,31.73,4.88
Iraan,US,2020-03-17 16:20:26,30.91,-101.9,90,53,77.0,17.22
Leshukonskoye,RU,2020-03-17 16:20:27,64.9,45.76,100,85,27.77,10.09
Atikokan,CA,2020-03-17 16:20:27,48.76,-91.62,90,62,25.79,10.51
Oktyabr'skiy,RU,2020-03-17 16:20:27,54.48,53.47,75,93,26.33,6.82
Merauke,ID,2020-03-17 16:20:27,-8.47,140.33,74,95,74.03,4.9
Karmaskaly,RU,2020-03-17 16:20:27,54.37,56.18,75,74,30.2,8.95
Pangkalanbuun,ID,2020-03-17 16:20:27,-2.68,111.62,100,97,74.75,1.99
Adeje,ES,2020-03-17 16:20:27,28.12,-16.73,20,67,64.99,21.92
Port Macquarie,AU,2020-03-17 16:20:27,-31.43,152.92,91,100,60.01,5.82
Aklavik,CA,2020-03-17 16:16:59,68.22,-135.01,75,72,17.6,3.36
Sioux Lookout,CA,2020-03-17 16:20:27,50.1,-91.92,75,41,23.0,11.41
Boa Vista,BR,2020-03-17 16:20:27,2.82,-60.67,40,34,96.8,10.29
Emerald,AU,2020-03-17 16:20:27,-23.53,148.17,0,88,64.4,5.82
Province of Mantua,IT,2020-03-17 16:20:27,45.17,10.78,0,70,54.0,4.7
Orange Park,US,2020-03-17 16:20:27,30.17,-81.71,75,51,86.0,6.93
Morgan City,US,2020-03-17 16:20:27,29.7,-91.21,1,69,82.4,9.17
Faanui,PF,2020-03-17 16:20:27,-16.48,-151.75,100,73,82.67,8.1
Abu Kamal,SY,2020-03-17 16:20:27,34.45,40.92,100,87,60.53,9.71
Avera,US,2020-03-17 16:20:27,33.19,-82.53,90,77,73.4,5.06
Dawson Creek,CA,2020-03-17 16:20:27,55.77,-120.24,40,62,23.0,4.7
Helena,US,2020-03-17 16:20:28,46.59,-112.04,1,63,39.0,7.63
Kedrovyy,RU,2020-03-17 16:20:28,56.17,91.82,100,67,23.0,4.47
Bereda,ES,2020-03-17 16:20:28,43.27,-7.54,94,71,57.2,1.12
Santa Inês,BR,2020-03-17 16:20:28,-3.67,-45.38,24,85,80.51,3.0
Stornoway,GB,2020-03-17 16:20:28,58.21,-6.39,27,71,37.0,11.41
Mossamedes,AO,2020-03-17 16:20:28,-15.2,12.15,100,80,73.85,6.93
Cavalcante,BR,2020-03-17 16:20:28,-13.8,-47.46,88,91,70.25,2.71
Funadhoo,MV,2020-03-17 16:20:28,6.15,73.27,19,78,84.11,18.37
Fukuechō,JP,2020-03-17 16:20:28,32.69,128.84,20,76,53.6,4.7
Olafsvik,IS,2020-03-17 16:15:36,64.89,-23.71,100,75,28.85,41.61
Cap Malheureux,MU,2020-03-17 16:20:28,-19.98,57.61,20,94,75.2,2.24
Ancud,CL,2020-03-17 16:20:28,-41.87,-73.82,20,59,64.4,6.93
Hamilton,US,2020-03-17 16:15:30,39.18,-84.53,90,53,52.0,8.05
Camacha,PT,2020-03-17 16:20:03,33.08,-16.33,40,58,59.0,18.34
Raja,SS,2020-03-17 16:20:28,8.46,25.68,0,22,77.81,3.85
Khatanga,RU,2020-03-17 16:15:35,71.97,102.5,78,84,-16.33,8.99
Gouyave,GD,2020-03-17 16:20:28,12.16,-61.73,40,70,84.2,5.82
Westport,US,2020-03-17 16:20:28,41.14,-73.36,75,81,55.0,4.7
Dalbandin,PK,2020-03-17 16:20:29,28.89,64.41,0,32,68.63,6.22
Storforshei,NO,2020-03-17 16:20:29,66.4,14.52,75,98,35.01,5.82
Nadym,RU,2020-03-17 16:20:29,65.53,72.52,100,95,22.37,11.07
Tampere,FI,2020-03-17 16:20:29,61.5,23.79,75,93,39.2,11.41
Shizunai-furukawachō,JP,2020-03-17 16:20:29,42.33,142.37,100,98,32.09,2.53
Ponta Porã,BR,2020-03-17 16:17:28,-22.54,-55.73,20,48,87.8,9.17
Ola,RU,2020-03-17 16:20:29,59.58,151.28,100,94,7.79,2.84
Pampa,US,2020-03-17 16:19:23,35.54,-100.96,90,93,51.8,6.93
Basse-Pointe,MQ,2020-03-17 16:20:29,14.87,-61.12,0,62,84.2,11.41
Kayes,ML,2020-03-17 16:20:29,14.0,-11.0,0,11,86.99,4.83
Boende,CD,2020-03-17 16:20:29,-0.22,20.87,75,97,72.59,3.36
Mount Gambier,AU,2020-03-17 16:20:29,-37.83,140.77,100,33,71.6,14.99
Pedernales,DO,2020-03-17 16:16:12,18.04,-71.74,20,48,87.8,13.87
Phra Phutthabat,TH,2020-03-17 16:20:29,14.73,100.8,97,64,87.01,9.19
Isangel,VU,2020-03-17 16:15:45,-19.55,169.27,75,83,80.6,16.49
Yelets,RU,2020-03-17 16:20:30,52.62,38.5,0,68,33.17,8.39
Mt. Pleasant,US,2020-03-17 16:17:33,32.79,-79.86,1,82,79.0,3.98
Yangambi,CD,2020-03-17 16:20:30,0.81,24.43,100,96,72.41,1.45
Houma,US,2020-03-17 16:17:52,29.6,-90.72,1,65,82.4,8.05
Salihorsk,BY,2020-03-17 16:20:30,52.79,27.54,96,79,37.67,5.64
Māngrol,IN,2020-03-17 16:20:30,21.12,70.12,0,64,78.71,9.95
Dhidhdhoo,MV,2020-03-17 16:20:30,6.88,73.1,34,80,83.39,14.45
Cláudio,BR,2020-03-17 16:20:30,-20.44,-44.77,100,81,73.49,1.63
Pingzhuang,CN,2020-03-17 16:20:30,42.04,119.29,69,41,40.37,10.58
Bambous Virieux,MU,2020-03-17 16:20:30,-20.34,57.76,20,94,75.2,2.24
Norman Wells,CA,2020-03-17 16:20:30,65.28,-126.83,90,85,21.2,4.29
Impfondo,CG,2020-03-17 16:20:30,1.64,18.07,94,73,77.09,5.77
Beloha,MG,2020-03-17 16:20:30,-25.17,45.05,35,84,70.61,6.87
Bathsheba,BB,2020-03-17 16:15:39,13.22,-59.52,20,58,84.2,14.99
Plettenberg Bay,ZA,2020-03-17 16:20:30,-34.05,23.37,0,70,66.83,8.57
Simao,CN,2020-03-17 16:20:30,22.79,100.97,0,40,59.81,3.83
Manzanillo,CU,2020-03-17 16:20:31,20.34,-77.12,0,36,89.33,14.81
Namatanai,PG,2020-03-17 16:15:38,-3.67,152.43,100,78,81.95,8.68
Viytivka,UA,2020-03-17 16:20:31,48.43,29.54,47,92,39.47,5.41
Mamlyutka,KZ,2020-03-17 16:20:31,54.94,68.54,4,87,26.69,17.16
Sivaki,RU,2020-03-17 16:20:31,52.63,126.75,100,96,20.39,7.47
Taku,CN,2020-03-17 16:20:31,39.02,117.65,0,43,51.8,6.71
Nurota,UZ,2020-03-17 16:20:31,40.56,65.69,67,71,50.0,4.7
Eureka,US,2020-03-17 16:16:54,40.8,-124.16,90,75,46.99,5.82
Peterhead,GB,2020-03-17 16:20:31,57.51,-1.8,100,75,44.6,9.17
Ossora,RU,2020-03-17 16:19:24,59.24,163.07,100,74,11.39,8.52
